district,total_biometric
Karaikal,16246
Karauli,80971
Karbi Anglong,39206
Kargil,5865
Karim Nagar,1697
Karimganj,35646
Karimnagar,153003
Karnal,94019
Karur,57807
Kasaragod,71756
Kasargod,2138
Kasganj,74519
Kathua,40163
Katihar,217280
Katni,98452
Kaushambi,97595
Kawardha,60791
Kendrapara,78386
Kendujhar,102233
Khagaria,79904
Khairagarh Chhuikhadan Gandai,1035
Khairthal-Tijara,15
Khammam,103128
Khandwa,59018
Khargone,169201
Khawzawl,8
Kheda,117161
Kheri,190063
Khorda,94322
Khordha,22624
Khordha  *,1
Khowai,9166
Khunti,42955
Kinnaur,4467
Kiphire,4310
Kishanganj,141279
Kishtwar,20920
Koch Bihar,13201
Kodagu,17305
Kodarma,4898
Koderma,38143
Kohima,13953
Kokrajhar,28859
Kolar,64283
Kolasib,10931
Kolhapur,271084
Kolkata,91010
Kollam,127311
Komaram Bheem,9677
Kondagaon,57346
Koppal,59812
Koraput,105211
Korba,101874
Koriya,60897
Kota,93354
Kotputli-Behror,7
Kottayam,78215
Kozhikode,152186
Kra Daadi,1240
Krishna,233247
Krishnagiri,120803
Kulgam,25744
Kullu,21248
Kupwara,49760
Kurnool,350633
Kurukshetra,69992
Kurung Kumey,3390
Kushinagar,147826
Kushinagar *,79
Lahaul and Spiti,47
Lahul & Spiti,595
Lahul and Spiti,765
Lakhimpur,29772
Lakhisarai,49497
Lakshadweep,4820
Lalitpur,75520
Latehar,43463
Latur,246741
Lawngtlai,13430
Leh,5385
Leh (ladakh),11
Leparada,36
Lohardaga,39196
Lohit,3891
Longding,2599
Longleng,2674
Lower Dibang Valley,2248
Lower Siang,413
Lower Subansiri,2680
Lucknow,217390
Ludhiana,190927
Lunglei,15289
MALDA,41
Madhepura,117237
Madhubani,238135
Madurai,213798
Mahabub Nagar,13852
Mahabubabad,10180
Mahabubnagar,195169
Maharajganj,103101
Mahasamund,99869
Mahbubnagar,14739
Mahendragarh,48832
Mahesana,99913
Mahisagar,30952
Mahoba,46339
Mahoba *,1
Mahrajganj,25
Maihar,1521
Mainpuri,73791
Majuli,3382
Malappuram,224009
Malda,95318
Maldah,14176
Malerkotla,13787
Malkangiri,48236
Mamit,10715
Mammit,2857
Mancherial,12409
Mandi,63334
Mandla,62247
Mandsaur,92460
Mandya,65779
ManendragarhChirmiriBharatpur,312
Manendragarh–Chirmiri–Bharatpur,281
Mansa,59039
Marigaon,33936
Mathura,119417
Mau,87861
Mauganj,1061
Mayiladuthurai,4309
Mayurbhanj,156985
Medak,149111
Medchal-malkajgiri,30130
Medchal?malkajgiri,856
Medchal−malkajgiri,4613
Medinipur,75
Meerut,173652
Meluri,865
Mewat,68325
Mirzapur,108192
Moga,61344
Mohali,6
Mohalla-Manpur-Ambagarh Chowki,67
Mohla-Manpur-Ambagarh Chouki,4595
Mokokchung,8545
Mon,14044
Monghyr,99
Moradabad,160474
Morbi,31879
Morena,145559
Muktsar,8879
Mulugu,5387
Mumbai,404359
Mumbai City,47571
Mumbai Suburban,174190
Mumbai( Sub Urban ),4927
Mungeli,82567
Munger,50471
Murshidabad,219079
Muzaffarnagar,169851
Muzaffarpur,208544
Mysore,54518
Mysuru,54589
N. T. R,13559
NADIA,3
NAYAGARH,9
NUAPADA,295
Nabarangapur,90586
Nadia,127791
Nagaon,117879
Nagapattinam,80677
Nagarkurnool,12454
Nagaur,205368
Nagpur,350923
Nainital,69361
Najafgarh,845
Nalanda,117402
Nalbari,20251
Nalgonda,170642
Namakkal,120991
Namchi,5
Namsai,6003
Nanded,342540
Nandurbar,199747
Nandurbar *,1645
Nandyal,10640
Narayanpet,6287
Narayanpur,22173
Narmada,39198
Narmadapuram,6850
Narsimhapur,10348
Narsinghpur,63117
Nashik,576606
Navsari,45552
Nawada,86245
Nawanshahr,4189
Nayagarh,62023
Neemuch,57011
Nellore,158477
New Delhi,4563
Nicobar,1811
Nicobars,2
Nirmal,13324
Niuland,285
Niwari,2295
Nizamabad,128175
Noklak,747
North,307
North 24 Parganas,223910
North And Middle Andaman,6383
North Cachar Hills,4024
North Delhi,60830
North Dinajpur,1195
North East,46620
North East Delhi,143096
North Garo Hills,1243
North Goa,37771
North Sikkim,918
North Tripura,47498
North Twenty Four Parganas,14653
North West Delhi,325293
Nuapada,46658
Osmanabad,155055
Pakaur,2484
Pakke Kessang,74
Pakur,37287
Palakkad,159847
Palamau,2634
Palamu,113041
Palghar,157952
Pali,155910
Palnadu,10053
Palwal,58697
Panch Mahals,327
Panchkula,37369
Panchmahals,104768
Pandhurna,377
Panipat,79773
Panna,98039
Papum Pare,9259
Parbhani,184026
Parvathipuram Manyam,10630
Paschim Bardhaman,10105
Paschim Medinipur,148750
Pashchim Champaran,353
Pashchimi Singhbhum,14111
Patan,73949
Pathanamthitta,59370
Pathankot,26596
Patiala,119311
Patna,209014
Pauri Garhwal,43759
Peddapalli,6427
Perambalur,57037
Peren,4584
Phalodi,2
Phek,8758
Pherzawl,2
Pilibhit,135630
Pithoragarh,30183
Pondicherry,24771
Poonch,1
Porbandar,30985
Prakasam,212299
Pratapgarh,188247
Prayagraj,20223
Puducherry,28654
Pudukkottai,130306
Pulwama,32832
Punch,46375
Pune,605762
Purba Bardhaman,12845
Purba Champaran,264
Purba Medinipur,131356
Purbi Singhbhum,20559
Puri,74923
Purnea,4954
Purnia,228551
Purulia,3875
Puruliya,92096
Rae Bareli,128738
Raebareli,9
Raichur,110877
Raigad,14025
Raigarh,331289
Raigarh(MH),500
Raipur,192374
Raisen,116648
Rajanna Sircilla,8085
Rajauri,12
Rajgarh,165229
Rajkot,168711
Rajnandgaon,154498
Rajouri,55736
Rajsamand,61962
Ramanagar,40922
Ramanathapuram,100419
Ramban,29877
Ramgarh,37237
Rampur,124942
Ranchi,177774
Rangareddi,54587
Rangareddy,2786
Ranipet,637
Ratlam,134947
Ratnagiri,139189
Rayagada,60299
Reasi,23240
Rewa,194959
Rewari,49732
Ri Bhoi,4524
Rohtak,75970
Rohtas,111710
Rudraprayag,24178
Rupnagar,45467
S.A.S Nagar(Mohali),2735
SAS Nagar (Mohali),57841
Sabar Kantha,617
Sabarkantha,90387
Sagar,192725
Saharanpur,190716
Saharsa,119866
Sahebganj,64425
Sahibganj,2097
Saiha,5756
Saitual,77
Sakti,4024
Salem,240644
Salumbar,1
Samastipur,200165
Samba,11225
Sambalpur,52322
Sambhal,103347
Samstipur,195
Sangareddy,22079
Sangli,223013
Sangrur,82470
Sant Kabir Nagar,90540
Sant Ravidas Nagar,68073
Sant Ravidas Nagar Bhadohi,110
Saran,148503
Sarangarh-Bilaigarh,1043
Satara,209569
Satna,172713
Sawai Madhopur,81422
Sehore,118002
Senapati,22596
Seoni,85752
Sepahijala,19625
Seraikela-Kharsawan,64174
Seraikela-kharsawan,14414
Serchhip,7604
Shahdara,7963
Shahdol,94572
Shaheed Bhagat Singh Nagar,30500
Shahjahanpur,154488
Shajapur,126641
Shamator,170
Shamli,103134
Sheikhpura,40423
Sheikpura,133
Sheohar,32682
Sheopur,56268
Shi-yomi,529
Shimla,39727
Shimoga,26849
Shivamogga,33654
Shivpuri,166572
Shrawasti,56564
Shupiyan,15529
Siang,1309
Sibsagar,11380
Siddharthnagar,107280
Siddipet,16209
Sidhi,121207
Sikar,161613
Simdega,62711
Sindhudurg,48377
Singrauli,108430
Sirmaur,31453
Sirohi,70150
Sirsa,97066
Sitamarhi,182000
Sitapur,264311
Sivaganga,95190
Siwan,125804
Solan,33569
Solapur,334507
Sonapur,26325
Sonbhadra,103755
Sonipat,84653
Sonitpur,30117
South,3050
South 24 Pargana,3
South 24 Parganas,224627
South 24 pargana,1
South 24 parganas,5
South Andaman,10487
South Delhi,222936
South Dinajpur,2125
South DumDum(M),6
South East Delhi,582
South Garo Hills,1285
South Goa,30584
South Salmara Mankachar,4848
South Sikkim,2053
South Tripura,57556
South Twenty Four Parganas,33382
South West Delhi,141527
South West Garo Hills,4915
South West Khasi Hills,3432
Sri Muktsar Sahib,56223
Sri Potti Sriramulu Nellore,10135
Sri Sathya Sai,10415
Sribhumi,357
Srikakulam,192607
Srinagar,72844
Subarnapur,6505
Sukma,30139
Sultanpur,98465
Sundargarh,16187
Sundergarh,94260
Supaul,112370
Surajpur,71822
Surat,281599
Surendra Nagar,95711
Surendranagar,527
Surguja,82860
Suryapet,20093
Tamenglong,7854
Tamulpur District,70
Tapi,40025
Tarn Taran,80702
Tawang,2464
Tehri Garhwal,57281
Tenkasi,10203
Thane,571273
Thanjavur,169567
The Dangs,27950
The Nilgiris,44104
Theni,86722
Thiruvallur,2897
Thiruvananthapuram,148817
Thiruvarur,72799
Thoothukkudi,139861
Thoubal,56043
Thrissur,145512
Tikamgarh,160616
Tinsukia,19249
Tirap,1893
Tiruchirappalli,193570
Tirunelveli,214773
Tirupathur,59
Tirupati,10398
Tirupattur,12111
Tiruppur,148772
Tiruvallur,237793
Tiruvannamalai,141455
Tiruvarur,3
Tiswadi,2
Tonk,79923
Tseminyu,186
Tuensang,9708
Tumakuru,43561
Tumkur,64761
Tuticorin,6
Udaipur,179778
Udalguri,22348
Udham Singh Nagar,144867
Udhampur,45485
Udupi,34625
Udupi *,3
Ujjain,149951
Ukhrul,13690
Umaria,39261
Una,31549
Unakoti,15733
Unnao,146390
Upper Siang,1796
Upper Subansiri,4166
Uttar Bastar Kanker,30301
Uttar Dinajpur,91756
Uttara Kannada,43156
Uttarkashi,24468
Vadodara,201417
Vaishali,168160
Valsad,84024
Varanasi,182411
Vellore,191803
Vidisha,124890
Vijayanagara,19948
Vijayapura,53092
Vikarabad,14223
Villupuram,121261
Viluppuram,85474
Virudhunagar,121294
Visakhapatnam,311303
Vizianagaram,159998
Wanaparthy,9974
Warangal,143368
Warangal (urban),11
Warangal Rural,7169
Warangal Urban,8583
Wardha,126459
Washim,138620
Washim *,839
Wayanad,36853
West,3584
West Champaran,166817
West Delhi,173242
West Garo Hills,33470
West Godavari,220414
West Jaintia Hills,6177
West Kameng,6172
West Karbi Anglong,3392
West Khasi Hills,6054
West Medinipur,4
West Midnapore,18978
West Nimar,9818
West Siang,4646
West Sikkim,3291
West Singhbhum,131186
West Tripura,92260
Wokha,6927
Y. S. R,8608
Yadadri.,12674
Yadgir,60902
Yamuna Nagar,88728
Yamunanagar,882
Yanam,223
Yavatmal,327187
Zunheboto,7963
chittoor,33
east midnapore,1
hooghly,40
jajpur,212
nadia,7
rangareddi,8
udhampur,1
yadgir,4281
