district,total_enrolment,total_biometric,total_population,enrol_norm,bio_norm,demo_norm,governance_risk_score
Anuppur,3226,71350.0,25681.0,0.07382058736008423,0.11778553293207564,0.058511256370939624,0.26494019684267606
Araria,15579,155444.0,152392.0,0.3565820495799666,0.2566090312697066,0.34720795065925125,0.37583484220801905
Ariyalur,2412,77473.0,23058.0,0.055188042209352896,0.12789346310927394,0.05253504728792204,0.26272559266986634
Arvalli,2391,29669.0,7955.0,0.054707350012589556,0.048977981451461136,0.01812456853046317,0.23784921887952765
Arwal,3866,30704.0,27190.0,0.08847025430906219,0.050686573274652424,0.06194934234359442,0.243272862564767
Ashok Nagar,5178,74376.0,44799.0,0.118502071554467,0.122780894146546,0.10206945890587299,0.2760992944992306
Ashoknagar,3011,0.0,0.0,0.06889921486941195,0.0,0.0,0.2275596859477648
Auraiya,3733,63181.0,51173.0,0.0854258703962277,0.10430003862903252,0.11659189760017497,0.2525719840900691
Aurangabad,27563,407803.0,255295.0,0.6308970631995788,0.6732066389109914,0.5816608074147825,0.6053093193612716
Aurangabad(BH),8,10.0,23.0,0.0001602307322544464,1.650813355740373e-05,5.240290084231967e-05,0.2000602149661563
Aurangabad(bh),105,222.0,644.0,0.002380570879208918,0.0003664805649743629,0.0014672812235849507,0.20080536433295634
Ayodhya,1693,7391.0,15065.0,0.03873005699636047,0.0122011615122771,0.03432390005171938,0.21350770739311117
Azamgarh,20573,173398.0,157667.0,0.4708952319912102,0.28624773425866923,0.3592264420480876,0.43101189809033424
Badgam,1867,14141.0,11832.0,0.04271293519811385,0.023344151663524618,0.026957874902883754,0.22103125976407867
Bagalkot,7142,77134.0,51750.0,0.1634582370041431,0.12733383738167794,0.11790652689521926,0.2927355243752846
Bagalkot *,249,1725.0,1171.0,0.005676745942728958,0.002847653038652144,0.0026679911689720145,0.20287616135875805
Bageshwar,742,21495.0,6712.0,0.016961567514363538,0.035484233081639324,0.015292533497984765,0.2179198135388042
Baghpat,6839,58029.0,53763.0,0.15652253530798638,0.09579504822025812,0.1224929199124188,0.27642844942881406
Bagpat,1,8.0,10.0,0.0,1.3206506845922986e-05,2.2783869931443334e-05,0.20000072582875209
Bahraich,39338,181078.0,126519.0,0.9004280449561655,0.29892598083075533,0.2882592439856279,0.6220897615176428
Bajali,29,23.0,820.0,0.0006409229290177856,3.796870718202859e-05,0.0018682773343783533,0.19989790118760425
Baksa,3699,17455.0,16657.0,0.08464760683956325,0.028814947124448216,0.03795109214480516,0.23779480315664356
Balaghat,6805,126762.0,78641.0,0.1557442717513219,0.2092604026003612,0.17917463152786353,0.31016694343510054
Balangir,5670,101045.0,41730.0,0.12976400302149382,0.16680643553078603,0.09507708922391303,0.2996127575761294
Baleshwar,1229,24836.0,11980.0,0.02810904845835145,0.040999600503167914,0.027295076177869113,0.22218444434903395
Baleswar,6018,104674.0,42427.0,0.13772975942500057,0.17279723719876783,0.09666512495813463,0.30487777365788044
Ballari,2781,37360.0,24235.0,0.063634490809623,0.06167438697046035,0.055216708778852916,0.23908020935626279
Ballia,9976,133005.0,103387.0,0.22832879346258614,0.21956643038024834,0.2355555960602132,0.3320469703250912
Balod,1678,81215.0,58695.0,0.0383867054272438,0.1340708066864544,0.13372992456260666,0.24223701993295796
Baloda Bazar,4944,140747.0,114732.0,0.11314578707624694,0.23234702738039031,0.2614038964974357,0.28591634648316777
Balotra,1,6.0,468.0,0.0,9.90488013444224e-06,0.001066285112791548,0.19979070492949547
Balrampur,18514,154355.0,135477.0,0.42376450660379517,0.2548112955253053,0.30866903467021484,0.40969651391759726
Banas Kantha,13498,547.0,449.0,0.30894774189118046,0.0009029949055899841,0.0010229957599218057,0.3237356955667238
Banaskantha,17360,151757.0,73383.0,0.3973493258864193,0.25052248242709185,0.16719487271791061,0.4257097487818224
Banda,10591,92491.0,68151.0,0.24240620779636962,0.15268537808578286,0.15527435196977946,0.3269817639589051
Bandipore,1639,20373.0,15632.0,0.03749399134754046,0.033632020496498626,0.03561574547683222,0.2213272556422492
Bandipur,2,1.0,1.0,2.2890104607778056e-05,1.6508133557403733e-06,2.2783869931443334e-06,0.20000936068978678
Bangalore,7016,198979.0,50800.0,0.16057408382356309,0.3284771907118637,0.11574205925173213,0.3724720979638243
Bangalore Rural,2644,38035.0,47525.0,0.0604985464783574,0.0627886859855851,0.10828034184918445,0.22765882461574014
Banka,11074,98227.0,96258.0,0.25346212832192644,0.16215444349430966,0.21931297518608725,0.322384033689277
Bankura,11355,108049.0,143641.0,0.25989424771671205,0.1783687322743916,0.32726978608224516,0.30985123477999243
Banswara,7263,93711.0,99992.0,0.16622793966168425,0.15469937037978612,0.22782047221848817,0.28280682957289055
Bapatla,492,5982.0,13107.0,0.011239041362419025,0.009875165494038912,0.029862818319142777,0.20247311907875465
Bara Banki,9086,165242.0,107444.0,0.20795660036166366,0.27278370052925077,0.24479901209139976,0.34333631793808583
Barabanki,2375,4224.0,4830.0,0.05434110833886511,0.006973035614647336,0.01100460917688713,0.22232473574602757
Baramula,3794,61935.0,36156.0,0.08682216677730217,0.10224312518778002,0.08237736012412651,0.2591506447612076
Baran,6267,80256.0,77916.0,0.14342939547233732,0.1324876766782994,0.17752280095783388,0.2748622686686879
Barddhaman,15836,181126.0,166762.0,0.3624648064641655,0.2990052198718309,0.3799483717507353,0.38859833618425155
Bardez,2,40.0,29.0,2.2890104607778056e-05,6.603253422961493e-05,6.607322280118567e-05,0.20002235441097474
Bardhaman,1776,14175.0,22531.0,0.04062993567880605,0.02340027931761979,0.05133433734253497,0.21534521853006336
Bareilly,27811,234808.0,237555.0,0.6365738091423078,0.38762418243468555,0.5412422221564022,0.5014307521995169
Bargarh,5239,81807.0,34610.0,0.11989836793554146,0.13504808819305272,0.07885497383272538,0.28620758768489263
Barmer,15851,196765.0,110268.0,0.3628081580332822,0.32482228994225454,0.25123317696003933,0.4248055437982069
Barnala,1013,35539.0,13285.0,0.023164785863071392,0.058668255849657125,0.030268371203922468,0.22667954244430694
Barpeta,14383,95421.0,57760.0,0.329205484469064,0.15752226121810217,0.1315996327240167,0.3683711717300631
Barwani,21823,143427.0,81908.0,0.4995078627509328,0.2367712071737745,0.18661812183446605,0.4571880036029897
Bastar,6608,94384.0,76341.0,0.15123492114358963,0.1558103677681994,0.17393434144363154,0.28803124727598933
Basti,10119,109201.0,83005.0,0.23160207842149838,0.1802704692602045,0.1891175123659454,0.3269255165994921
Bathinda,2704,96740.0,36796.0,0.061871952754824086,0.15969968403432372,0.0838355277997389,0.27186154915571137
Baudh,175,4845.0,1097.0,0.003982878201753382,0.007998190708562109,0.002499390531479334,0.20429254945783035
Beawar,1,8.0,490.0,0.0,1.3206506845922986e-05,0.0011164096266407233,0.19978200067741025
Beed,10185,255495.0,168134.0,0.23311282532561173,0.4217745583248867,0.3830743187053293,0.38534008971913347
Begusarai,13209,147208.0,129511.0,0.30233250165953257,0.24301293247182887,0.2950761778691158,0.3591229380787214
Belagavi,7805,79001.0,53417.0,0.17863437635909996,0.13041590591684524,0.12170459801279085,0.29927919330781994
Belgaum,6743,111069.0,61808.0,0.15432508526563968,0.18335418860872751,0.14082254327226496,0.3069072008952939
Bellary,4220,68247.0,26689.0,0.09657335134021562,0.11266305908921326,0.06080787046002911,0.2715329900797657
Bemetara,2771,111710.0,57310.0,0.06340558976354521,0.1844123599697571,0.13057435857710176,0.27301230817790056
Bengaluru,30980,297075.0,300072.0,0.7091125506443564,0.4904153776565714,0.6836801418068064,0.5430751429590099
Bengaluru Rural,2790,10.0,72.0,0.063840501751093,1.650813355740373e-05,0.000164043863506392,0.22550999518115888
Bengaluru South,203,146.0,3558.0,0.004623801130771167,0.0002410187499380945,0.008106500921607538,0.2003246277679622
Bengaluru Urban,23074,0.0,0.0,0.5281433836152631,0.0,0.0,0.41125735344610526
Betul,8166,155822.0,47549.0,0.18689770412250784,0.25723303871817643,0.10833502313701991,0.3559852925088698
Bhabua,31,33.0,126.0,0.0006867031382333416,5.4476840739432315e-05,0.000287076761136186,0.2002390566393619
Bhadohi,546,6540.0,11544.0,0.01247510701123904,0.010796319346542042,0.026301699448858185,0.2040482306533408
Bhadradri Kothagudem,3211,21603.0,33168.0,0.07347723579096756,0.035662520924059284,0.07556953978861125,0.2285419947282885
Bhadrak,4891,97680.0,41818.0,0.1119326115320347,0.16125144858871965,0.09527758727930974,0.29021810659243985
Bhagalpur,21062,148314.0,151546.0,0.48208849314441365,0.24483873204327772,0.34528043526305113,0.42171480302246633
Bhandara,1903,102204.0,37111.0,0.04353697896399386,0.1687197282100891,0.08455321970257935,0.2679920389291173
Bharatpur,17054,141155.0,103732.0,0.3903449538764392,0.23302055922953238,0.23634163957284798,0.4020778773278191
Bharuch,4351,76378.0,49013.0,0.09957195504383455,0.12608582248473824,0.11167058169498321,0.2679289946724325
Bhavnagar,10174,141152.0,56270.0,0.23286103417492618,0.23301560678946517,0.12820483610423164,0.3607096891649102
Bhilwara,11083,120019.0,96034.0,0.25366813926339643,0.19812896814260386,0.2188026164996229,0.3369583196624756
Bhind,13967,83365.0,57091.0,0.31968320095222835,0.1376200554012962,0.13007539182560313,0.35690622417628926
Bhiwani,3489,95625.0,33542.0,0.07984068487192986,0.1578590271426732,0.07642165652404723,0.2797955535010318
Bhojpur,13357,96996.0,139853.0,0.3057202371414837,0.16012229225339325,0.31863925615221445,0.32260916052750793
Bhopal,12862,186438.0,89679.0,0.2943896353606336,0.3077743404175237,0.20432346715819066,0.4000008968796248
Bid,568,9892.0,11597.0,0.012978689312610158,0.016329845714983773,0.026422453959494833,0.20643892321913862
Bidar,4920,79708.0,42293.0,0.11259642456566026,0.13158303095935367,0.09635982110105329,0.27839981798979496
Bijapur,10955,82994.0,42411.0,0.25073820587360085,0.13700760364631653,0.09662867076624432,0.3357725896547181
Bijapur(KAR),3,13.0,1.0,4.578020921555612e-05,2.1460573624624852e-05,2.2783869931443334e-06,0.20002644063573743
Bijnor,16851,217048.0,224038.0,0.3856982626410603,0.35830573723673653,0.5104452651700702,0.3955125469171047
Bikaner,13283,130871.0,80401.0,0.30402636940050815,0.2160435946790984,0.18318459263579753,0.3713910671046831
Bilaspur,9940,216943.0,157519.0,0.22750474969670612,0.3581324018343838,0.35888924077310225,0.3624770124578155
Birbhum,15509,110194.0,148811.0,0.3549797422574221,0.1819097269224547,0.33904904683680137,0.34694597830459045
Bishnupur,1117,30309.0,41709.0,0.025545356742280312,0.05003450199913497,0.095029243097057,0.2112260948771547
Biswanath,1329,9548.0,10813.0,0.030398058919129257,0.015761965920609085,0.024636198556869677,0.21353677022452142
Bokaro,5800,108429.0,69300.0,0.13273971662050496,0.17899604134957292,0.1578922186249023,0.2931158594630507
Bokaro *,2,3.0,0.0,2.2890104607778056e-05,4.95244006722112e-06,0.0,0.20001113701787002
Bongaigaon,3175,36608.0,38574.0,0.07265319202508755,0.06043297532694358,0.08788649987354952,0.23565716696610256
Botad,2947,16256.0,7320.0,0.06743424817451416,0.026835621910915507,0.01667779278981652,0.2343723894762086
Boudh,1424,24307.0,9012.0,0.03257261885686817,0.04012632023798125,0.020532823582216732,0.22497301092149644
Budaun,15529,110318.0,168592.0,0.3554375443495777,0.1821144277785665,0.38411781994818944,0.33819722486161985
Budgam,859,23111.0,18442.0,0.019639709753473573,0.038151947464515765,0.042018012927567794,0.2147130603016822
Bulandshahar,185,220.0,642.0,0.004211779247831162,0.00036317893826288213,0.001462724449598662,0.2015374383845179
Bulandshahr,16885,180832.0,171591.0,0.3864765261977247,0.29851988074524316,0.3909507025406293,0.39580842226906127
Buldana,1075,35737.0,22487.0,0.024583972348753633,0.05899511689409372,0.051234088314836626,0.22318481803417162
Buldhana,7084,219501.0,112023.0,0.162130610936892,0.36235518239836767,0.25523174613300764,0.3587479681075023
Bundi,4872,62857.0,48006.0,0.1114976995444869,0.10376517510177265,0.10937624599288687,0.26422990065992646
Burdwan,2,5.0,0.0,2.2890104607778056e-05,8.254066778701866e-06,0.0,0.2000124576685546
Burhanpur,9689,74141.0,16234.0,0.22175933344015383,0.12239295300794702,0.03698733444670511,0.33026344768989935
Buxar,7240,57028.0,71735.0,0.16570146725570536,0.094142584051162,0.16344009095320874,0.2712496023321052
Cachar,17514,66145.0,56559.0,0.4008744019960171,0.109193049415447,0.12886328994525034,0.3782543225755356
Central Delhi,3947,54060.0,48387.0,0.09032435278229221,0.08924297001132458,0.11024431143727485,0.24977806682999176
Chamarajanagar,249,1845.0,1085.0,0.005676745942728958,0.003045750641340989,0.0024720498875616015,0.20299458865611567
Chamarajanagar *,23,62.0,55.0,0.0005035823013711172,0.00010235042805590315,0.00012531128462293833,0.20021731083484623
Chamba,1657,33842.0,19244.0,0.03790601323048046,0.05586682558496571,0.04384527929606955,0.22874007966696458
Chamoli,1090,28402.0,11512.0,0.024927323917870302,0.04688640092973808,0.026228791065077566,0.22347973172602786
Champawat,866,23214.0,12267.0,0.01979994048572802,0.038321981240157024,0.02794897324490154,0.21765897404137374
Champhai,1165,15968.0,6396.0,0.026644081763453658,0.02636018766446228,0.014572563208151156,0.21828719512953615
Chamrajanagar,2227,28965.0,14885.0,0.05095337285691395,0.04781580884901991,0.033913790392953405,0.23272491460378286
Chamrajnagar,380,2252.0,1885.0,0.008675349646347884,0.0037176316771273207,0.004294759482077069,0.2040982406329747
Chandauli,9566,90544.0,92414.0,0.21894385057339713,0.14947124448215635,0.21055485558444043,0.3052550669053333
Chandel,759,8683.0,8917.0,0.017350699292695768,0.014334012367893662,0.02031637681786802,0.2086106093006622
Chandigarh,2720,74462.0,82316.0,0.062238194428548534,0.12292286409513968,0.18754770372766894,0.23655488266394153
Chandrapur,4475,213634.0,109941.0,0.10241032801519902,0.3526698604402389,0.25048814441328116,0.331934446499519
Changlang,803,8183.0,5567.0,0.018357863895438,0.013508605690023474,0.012683780390834504,0.2102098317560177
Charaideo,1189,8293.0,9816.0,0.02719344427404033,0.013690195159154915,0.022364646724704777,0.21188052642833716
Charkhi Dadri,858,9788.0,11940.0,0.019616819648865795,0.016158161125986774,0.02720394069814334,0.20886920417031238
Chatra,6302,67692.0,46197.0,0.14423054913360955,0.11174685767677735,0.10525464392228877,0.28134003393969703
Chatrapati Sambhaji Nagar,211,2204.0,7534.0,0.004806921967633391,0.0036383926360517827,0.01716536760634941,0.19994505232020418
Chengalpattu,1253,6248.0,20764.0,0.028658410968938126,0.010314281846665852,0.04730842752564894,0.20612739162111182
Chennai,10043,233031.0,145060.0,0.22986243047130725,0.3846906871015349,0.330502817225517,0.3797206835840335
Chhatarpur,17836,158531.0,78414.0,0.40824501567972166,0.2617050920988771,0.17865743768041975,0.4322485555753556
Chhatrapati Sambhajinagar,1010,4867.0,14040.0,0.023096115549248057,0.008034508602388397,0.03198855338374644,0.20605453898390533
Chhindwara,8981,140191.0,88330.0,0.20555313937784697,0.23142917515459868,0.20124992310443895,0.3345429411920905
Chhotaudepur,4107,33802.0,9405.0,0.0939867695195367,0.0558007930507361,0.021428229670522454,0.2556293790940046
Chickmagalur,1231,21919.0,10222.0,0.02815482866756701,0.03618417794447324,0.023289671843921375,0.2210776682760318
Chikkaballapur,3152,41933.0,35621.0,0.07212671961910866,0.06922355644626108,0.08115842308279429,0.24030842580958905
Chikkamagaluru,1151,15176.0,10900.0,0.026323620298944764,0.025052743486715906,0.024834418225273235,0.21558366186920963
Chikmagalur,154,1385.0,690.0,0.0035021860049900427,0.002286376497700417,0.00157208702526959,0.20200100759602227
Chirang,3348,27087.0,12853.0,0.07661318012223316,0.04471558136693949,0.029284108022884118,0.24267468299109224
Chitradurga,4413,61227.0,46462.0,0.10099114152951678,0.10107434933191584,0.10585841647547202,0.2596545130494787
Chitrakoot,5401,62732.0,43721.0,0.1236065648820015,0.1035588234323051,0.0996133577272634,0.27094348378027
Chittaurgarh,357,2238.0,1996.0,0.008148877240368987,0.0036945202901469553,0.004547660438316089,0.20382782692454315
Chittoor,8195,251405.0,166528.0,0.1875615171561334,0.41502273169990855,0.37941522919433956,0.36515065370354893
Chittorgarh,5986,62598.0,60867.0,0.1369972760775517,0.10333761444263588,0.13867858111171613,0.2683982399857318
Chumukedima,184,651.0,1801.0,0.004188889143223384,0.001074679494586983,0.004103374974652944,0.20128475246019356
Churachandpur,4638,18812.0,19104.0,0.10614141506626684,0.0310551008481879,0.043526305117029346,0.24617334534237603
Churu,12780,133224.0,75139.0,0.2925126467827958,0.21992795850515548,0.17119572027787205,0.37073709805960614
Coimbatore,8986,219722.0,115359.0,0.20566758990088585,0.3627200121499863,0.26283244514213716,0.37478855179192144
Cooch Behar,10728,45164.0,121267.0,0.24554215212763522,0.07455733439865822,0.2762931554976339,0.2727811635109906
Coochbehar,4410,0.0,0.0,0.10092247121569345,0.0,0.0,0.24036898848627739
Cuddalore,8630,168111.0,80289.0,0.19751871266051685,0.2775198840468699,0.18292941329256537,0.3534295560244416
Cuddapah,5934,170796.0,81355.0,0.1358069906379472,0.2819523179070328,0.18535817382725725,0.3300320886525406
Cuttack,5402,141068.0,49625.0,0.12362945498660928,0.23287693846758298,0.11306495453478754,0.31998956647471943
Dadra & Nagar Haveli,25,553.0,219.0,0.0005493625105866734,0.0009128997857244264,0.000498966751498609,0.20048511156822474
Dadra And Nagar Haveli,716,0.0,0.0,0.01636642479456131,0.0,0.0,0.20654656991782452
Dadra and Nagar Haveli,832,29213.0,7672.0,0.019021676929063563,0.04822521056124352,0.017479785011403324,0.22340279799384216
Dahod,10509,115675.0,35277.0,0.24052921921853182,0.1909578349252677,0.08037465795715265,0.3565198900660893
Dakshin Bastar Dantewada,1224,27211.0,5577.0,0.027994597935312563,0.0449202822230513,0.012706564260765947,0.22662463921119236
Dakshin Dinajpur,6526,44659.0,82838.0,0.14935793256575183,0.07372367365400934,0.1887370217380903,0.25148523814028645
Dakshina Kannada,6505,78051.0,55315.0,0.1488772403689885,0.12884763322889187,0.1260289765257788,0.28588415413399637
Daman,130,5966.0,3074.0,0.002952823494403369,0.009848752480347066,0.0070037616169256805,0.20371987806651504
Damoh,6066,134483.0,54773.0,0.13882848444617393,0.22200633252003263,0.12479409077549457,0.31937510863138374
Dang,872,0.0,0.0,0.019937281113374686,0.0,0.0,0.20797491244534988
Dantewada,710,18928.0,2247.0,0.016229084166914643,0.031246595197453784,0.005119535573595317,0.21796636463102834
Darbhanga,15765,210380.0,150608.0,0.3608396090370133,0.3472981137806597,0.34314330826348177,0.41462642747437284
Darjeeling,7319,40102.0,51492.0,0.16750978551971982,0.06620091719190045,0.11731870305098802,0.2700205404744505
Darjiling,726,2586.0,7990.0,0.01659532584063909,0.004269003337944605,0.018204312075223224,0.20470486925638887
Darrang,7595,26265.0,27736.0,0.17382745439146657,0.043358612788520906,0.06319334164185123,0.27423575854362475
Datia,5843,47034.0,35717.0,0.13372399111863942,0.07764435537389272,0.08137714823413615,0.26827190895018566
Dausa,6133,106330.0,49603.0,0.14036212145489504,0.1755309841158739,0.11301483002093837,0.3037542762241199
Davanagere,483,6251.0,3121.0,0.011033030420949023,0.010319234286733073,0.007110845805603464,0.20711873672195213
Davangere,4813,89432.0,33131.0,0.11014718337262801,0.14763554003057305,0.0754852394698649,0.28801604146730747
Debagarh,883,16252.0,7852.0,0.020189072264060245,0.026829018657492546,0.017889894670169305,0.21522925743458726
Deeg,61,142.0,235.0,0.0013734062764666835,0.00023441549651513302,0.0005354209433889183,0.20053604452051496
Deeg ,8,16.0,1013.0,0.0001602307322544464,2.6413013691845972e-05,0.0023080060240552097,0.1996130562935675
Dehradun,9485,129280.0,80978.0,0.2170897521001671,0.21341715063011546,0.18449922193084184,0.33530291670594464
Deoghar,8324,67426.0,58994.0,0.19051434065053677,0.1113077413241504,0.1344111622735568,0.2938466003351635
Deoria,10257,138613.0,106930.0,0.23476091285737177,0.22882419167924037,0.24362792117692356,0.33670845757926016
Devbhumi Dwarka,2490,25464.0,6423.0,0.056973470368759584,0.042036311290572864,0.014634079656966054,0.23667709673233978
Dewas,10442,119901.0,46657.0,0.2389955822098107,0.1979341721666265,0.10630270193913516,0.35351136136274786
Dhalai,1420,34968.0,14905.0,0.032481058438437065,0.05772564142352937,0.03395935813281629,0.22929080831822335
Dhalai  *,32,647.0,377.0,0.0007095932428411197,0.0010680762411640215,0.0008589518964154136,0.20053927741431898
Dhamtari,1968,90278.0,44084.0,0.045024835763499436,0.14903212812952943,0.10044041220577479,0.25753470311605664
Dhanbad,11031,151069.0,106342.0,0.25247785382379195,0.24938672283834246,0.2422882296249547,0.35228818473986284
Dhar,12712,146391.0,86107.0,0.2909561196694669,0.241664217960189,0.19618506881867911,0.37381112128812655
Dharashiv,144,643.0,3012.0,0.003273284958912262,0.00106147298774106,0.006862501623350732,0.20036140285399118
Dharmapuri,5739,104858.0,40577.0,0.1313434202394305,0.17310098685622405,0.09245010902081761,0.3032877410340983
Dharwad,5103,87821.0,54265.0,0.11678531370888365,0.14497607971447532,0.12363667018297725,0.27997722333274816
Dhaulpur,139,400.0,480.0,0.003158834435873372,0.0006603253422961493,0.00109362575670928,0.20130893875992595
Dhemaji,6901,20730.0,21833.0,0.1579417217936686,0.03422136086449794,0.04974402322132023,0.2669164284190026
Dhenkanal,3017,77647.0,29372.0,0.06903655549705862,0.12818070463317277,0.06692078276263536,0.2655027474995655
Dholpur,8580,74417.0,76795.0,0.19637420743012796,0.12284857749413136,0.17496872913851907,0.2926953681419999
Dhubri,12646,59475.0,78781.0,0.28944537276535354,0.0981821243326587,0.17949360570690373,0.31915227769782417
Dhule,12605,197854.0,60360.0,0.28850687847643464,0.3266200256866558,0.13752343890619195,0.41854607388399784
Dibang Valley,10,471.0,153.0,0.0002060109414700025,0.0007775330905537158,0.000348593209951083,0.20032369897081928
Dibrugarh,7062,26735.0,26024.0,0.16162702863552086,0.04413449506571888,0.05929274310958813,0.2704460608585783
Didwana-Kuchaman,2,8.0,659.0,2.2890104607778056e-05,1.3206506845922986e-05,0.0015014570284821156,0.19971414723888506
Dima Hasao,250,25.0,269.0,0.005699636047336735,4.1270333893509334e-05,0.0006128861011558257,0.20217378533226094
Dimapur,3196,25223.0,7958.0,0.0731338842218509,0.04163846527183943,0.018131403691442605,0.2422826590591876
Dinajpur Dakshin,997,0.0,0.0,0.022798544189346945,0.0,0.0,0.2091194176757388
Dinajpur Uttar,11671,0.0,0.0,0.2671275207727699,0.0,0.0,0.306851008309108
Dindigul,6083,186123.0,56367.0,0.13921761622450615,0.3072543342104655,0.12842583964256662,0.35290361224547534
Dindori,2659,61476.0,46856.0,0.06084189804747407,0.10148540185749519,0.10675610095077089,0.24357969977183355
Diu,96,3536.0,1028.0,0.0021745599377389156,0.00583727602589796,0.0023421818289523747,0.20273629801966428
Doda,4504,36779.0,11027.0,0.10307414104882459,0.06071526441077519,0.025123773373402564,0.26049100750915943
Dohad,13003,15716.0,5127.0,0.2976171401103303,0.025944182698815706,0.011681290113850997,0.32708827110088823
